,3.1 Manage Relationships (RM/Plan),,,,,,,L2,,,,
,,3.1.1 Profile Account ,,,,,,L3,,,,
,,,3.1.1.1 Build Account Team,,,,,L4,,,,
,,,,3.1.1.1.1 Form  Account/v-team,,,,L5,,,,
,,,,3.1.1.1.2 Document Account/v-team Makeup,,,,L5,,,,
,,,3.1.1.2 Complete Business Profile,,,,,L4,,,,
,,,,"3.1.1.2.1 Understand Customer's annual report, financial statements, and other Customer reports",,,,L5,,,,
,,,,"3.1.1.2.2 Understand industry information, competitive forces, and market influencers",,,,L5,,,,
,,,,3.1.1.2.3 Meet with the Customer,,,,L5,,,,
,,,,3.1.1.2.4 Understand Customers Business and IT initiatives,,,,L5,,,,
,,,,3.1.1.2.5 Collect Customer Business Intelligence From All Internal Teams and Partners,,,,L5,,,,
,,,,3.1.1.2.6 Document the Customer Buying Process/Cycle,,,,L5,,,,
,,,3.1.1.3 Complete Technology Profile,,,,,L4,,,,
,,,,3.1.1.3.1 Document Customer Deployments,,,,L5,,,,
,,,,"3.1.1.3.2 Collaborate with others to gather IO profile information, and complete IO discovery",,,,L5,,,,
,,,,3.1.1.3.3 Gather Customer intelligence from Support and MCS,,,,L5,,,,
,,,,3.1.1.3.4 Gather Customer intelligence from Partners,,,,L5,,,,
,,,,3.1.1.3.5 Capture Competing Technology Presence,,,,L5,,,,
,,,,3.1.1.3.6 Compare Customer Technology Profile to Industry,,,,L5,,,,
,,,,3.1.1.3.7 Document Customer IO Maturity Level,,,,L5,,,,
,,,,3.1.1.3.8 Document Current Technology Goals Profile,,,,L5,,,,
,,,3.1.1.4 Create Licensing Profile,,,,,L4,,,,
,,,,"3.1.1.4.1 Document Customer Account Status (purchase & deployment history, licensing profile)",,,,L5,,,,
,,,,3.1.1.4.2 Note Critical Dates (e.g. T-36 process towards EA renewals),,,,L5,,,,
,,,,3.1.1.4.3 Conduct Whitespace analysis of Licensing information,,,,L5,,,,
,,,3.1.1.5 Create Relationship Profile,,,,,L4,,,,
,,,,3.1.1.5.1 Document Key Decision Makers,,,,L5,,,,
,,,,3.1.1.5.2 Document Competing Sellers,,,,L5,,,,
,,,,3.1.1.5.3 Develop Conditions of Satisfaction (COS) with the Customer,,,,L5,,,,
,,3.1.2 Develop Account Strategy (Discover) ,,,,,,L3,,,,
,,,3.1.2.1 Prioritize Account Focus,,,,,L4,,,,
,,,,3.1.2.1.1 Establish Accounts with Greatest Need/Opportunity,,,,L5,,,,
,,,,3.1.2.1.2 Identify Accounts Deemed as Strategic by Management,,,,L5,,,,
,,,,3.1.2.1.3 Align Resourcing with Prioritized Accounts,,,,L5,,,,
,,,3.1.2.2 Align Customer Needs with Microsoft Offerings,,,,,L4,,,,
,,,,3.1.2.2.1 Document Customers Business and IT initiatives,,,,L5,,,,
,,,,3.1.2.2.2 Document MS Strategic Benefits (non-financial) and Financial Goals,,,,L5,,,,
,,,,3.1.2.2.3 Align Customer Opportunity Value with Resource Utilization (cost of sale),,,,L5,,,,
,,,,3.1.2.2.4 Align Customer Opportunity with Technology Profile,,,,L5,,,,
,,,,3.1.2.2.5 Prioritize and Align Customer Objectives with MS Capabilities and Partner Solutions,,,,L5,,,,
,,,,3.1.2.2.6 Capture Key Customer Dates/Milestones/Owners,,,,L5,,,,
,,,,3.1.2.2.7 Align Microsoft and Partner Goals to Customer Needs,,,,L5,,,,
,,,,3.1.2.2.8 Detail the Role of tele in Fulfilling Strategies,,,,L5,,,,
,,,,"3.1.2.2.9 Document Joint Account Strategies (Customers, Partners, and MCS)",,,,L5,,,,
,,,,3.1.2.2.10 Capture Customer Opportunities (CRM) Based on Strategy,,,,L5,,,,
,,,3.1.2.3 Align Account Strategies with Partners,,,,,L4,,,,
,,,,3.1.2.3.1 Identify and Assign Partners,,,,L5,,,,
,,,,3.1.2.3.2 Identify and Prioritize Partner Objectives and Capabilities with MS offerings ,,,,L5,,,,
,,,,3.1.2.3.3 Link Specific Accountabilities to Partners,,,,L5,,,,
,,,,3.1.2.3.4 Link Partner Strategy (PSP) to Account Strategy,,,,L5,,,,
,,,,3.1.2.3.5 Link Partner Business Plan (PBP) to Account Plan,,,,L5,,,,
,,,,3.1.2.3.6 Align Partner Plans with MS Corporate Strategies,,,,L5,,,,
,,,3.1.2.4 Align Marketing Efforts with Account Strategies,,,,,L4,,,,
,,,,3.1.2.4.1 Link Account Plans to Specific Marketing Efforts,,,,L5,,,,
,,,,3.1.2.4.2 Share Account Planning Trends with Business Groups,,,,L5,,,,
,,,,3.1.2.4.3 Research Emerging Technologies,,,,L5,,,,
,,,,3.1.2.4.4 Compare Marketing Intelligence with Account Plan Trends,,,,L5,,,,
,,,3.1.2.5 Obtain Strategy Approval,,,,,L4,,,,
,,,,"3.1.2.5.1 Generate Presentation of Plan for Targeted Audiences (e.g.  Account team, Customer, Sales Management, Partner, MCS)",,,,L5,,,,
,,,,3.1.2.5.2 Present Plans to Customers and Partners to Validate Direction and Report Progress (e.g. EBR),,,,L5,,,,
,,,,"3.1.2.5.3 Make Specific Requests to Management (e.g. BIF, funding, headcount)",,,,L5,,,,
,,,,3.1.2.5.4 Review Account Plans with Sales Management,,,,L5,,,,
,,,,3.1.2.5.5 Perform Quality Review of Account Plan,,,,L5,,,,
,,3.1.3 Develop Plan,,,,,,L3,,,,
,,,3.1.3.1 Identify Account Level Gaps,,,,,L4,,,,
,,,,3.1.3.1.1 Determine if a Revenue Gap Exists,,,,L5,,,,
,,,,3.1.3.1.2 Determine License Gap and Identify Potential Revenue Opportunities,,,,L5,,,,
,,,,"3.1.3.1.3 Incorporate Services Intelligence, Partner Intelligence and BG Intelligence into gap analysis",,,,L5,,,,
,,,,3.1.3.1.4 Develop a Plan to Fill Revenue Gap by Product Group and Partner Offerings (white spacing as a way to fill gap),,,,L5,,,,
,,,3.1.3.2 Identify Account Top Opportunities,,,,,L4,,,,
,,,,3.1.3.2.1 Document Account Key Success Factors (Financial/non-Financial),,,,L5,,,,
,,,,3.1.3.2.2 Map Internal and Partner Offerings and Solutions to key customer needs,,,,L5,,,,
,,,,"3.1.3.2.3 Determine which Projects, Opportunities, and big bets to pursue",,,,L5,,,,
,,,,3.1.3.2.4 Map Specific Opportunities to Telesales,,,,L5,,,,
,,,,3.1.3.2.5 Create Account Revenue Forecast,,,,L5,,,,
,,,3.1.3.3 Link Account Plans to Organizational Goals,,,,,L4,,,,
,,,,3.1.3.3.1 Review the outputs/quota from top-down Subsidiary Planning ,,,,L5,,,,
,,,,3.1.3.3.2 Link account marketing needs with organizational goals/plans,,,,L5,,,,
,,,,3.1.3.3.3 Roll up Revenue Forecasts,,,,L5,,,,
,,,,3.1.3.3.4 Resolve Organizational Revenue Goal Gaps,,,,L5,,,,
,,,,3.1.3.3.5 Resolve organizational Marketing Spend Gaps,,,,L5,,,,
,,,,3.1.3.3.6 Update account plans based on organizational needs,,,,L5,,,,
,,,3.1.3.4 Manage Plan Progress,,,,,L4,,,,
,,3.1.4 Execute  Plan,,,,,,L3,,,,
,,,3.1.4.1 Identify Virtual Team,,,,,L4,,,,
,,,,3.1.4.1.1 Review specific account needs,,,,L5,,,,
,,,,3.1.4.1.2 Establish specific resource requirements,,,,L5,,,,
,,,,3.1.4.1.3 Request headcount,,,,L5,,,,
,,,,3.1.4.1.4 Add partner resources where necessary/appropriate,,,,L5,,,,
,,,,3.1.4.1.5 Resolve resource shortages,,,,L5,,,,
,,,3.1.4.2 Maintain Virtual Team,,,,,L4,,,,
,,,,3.1.4.2.1 Establish specific v-team accountabilities,,,,L5,,,,
,,,,3.1.4.2.2 Maintain v-team calendar of events,,,,L5,,,,
,,,,3.1.4.2.3 Manage account/v-team activities,,,,L5,,,,
,,,3.1.4.3 Conduct Customer Briefings,,,,,L4,,,,
,,,,3.1.4.3.1 Document briefing objectives,,,,L5,,,,
,,,,"3.1.4.3.2 Schedule briefings, ensure correct attendees",,,,L5,,,,
,,,,3.1.4.3.3 Conduct  briefings,,,,L5,,,,
,,,,3.1.4.3.4 Share content with Customer,,,,L5,,,,
,,,,3.1.4.3.5 Maintain awareness of Partner campaigns and efforts,,,,L5,,,,
,,,,3.1.4.3.6 Maintain awareness of Competitor campaigns and efforts,,,,L5,,,,
,,,3.1.4.4 Track Customer/Partner Satisfaction,,,,,L4,,,,
,,,,"3.1.4.4.1 Document specific expectations, success metrics",,,,L5,,,,
,,,,3.1.4.4.2 Capture Customer satisfaction through survey response reports (GRS),,,,L5,,,,
,,,,3.1.4.4.3 Compare satisfaction to execution on success metrics,,,,L5,,,,
,,,,3.1.4.4.4 Update account plan to reflect remediation steps as appropriate,,,,L5,,,,
,,,3.1.4.5 Manage Progress Against Plan,,,,,L4,,,,
,,,,3.1.4.5.1 Track progress against plan timelines and metrics,,,,L5,,,,
,,,,3.1.4.5.2 Revise plans as needed,,,,L5,,,,
,,,,3.1.4.5.3 Add/revise opportunities (CRM) as appropriate,,,,L5,,,,
,,,,3.1.4.5.4 Prepare post mortem findings for opportunities that close,,,,L5,,,,
,,,3.1.4.6 Review Progress,,,,,L4,,,,
,,3.1.5 Manage Parties,,,,,,L3,,,,
,3.2 Manage Business Engagement,,,,,,,L2,,,,
,,3.2.1 Business Planning,,,,,,L3,,,,
,,,3.2.1.1 Manage Three year Growth Plan,,,,,L4,,,,
,,,,3.2.1.1.1 Review corp. rhythm,,,,L5,,,,
,,,,3.2.1.1.2 Map Growth to align with Rhythm,,,,L5,,,,
,,,3.2.1.2 Manage Revenue Plan,,,,,L4,,,,
,,,,3.2.1.2.1 Annuity Plan,,,,L5,,,,
,,,,3.2.1.2.2 New Business Plan (IO vs. solutions),,,,L5,,,,
,,,3.2.1.3 Align Account Plans with Revenue Plans,,,,,L4,,,,
,,,3.2.1.4 Create Three Year Growth Plan,,,,,L4,,,,
,,,,3.2.1.4.1 Evaluate External Geographic Macroeconomic Trends,,,,L5,,,,
,,,,,3.3.1.1.1.1 Track Internet Adoption,,,n/a,,,,
,,,,,3.3.1.1.1.2 Document GDP Growth Trends,,,n/a,,,,
,,,,,3.3.1.1.1.3 Evaluate Piracy Rates,,,n/a,,,,
,,,,,3.3.1.1.1.3 Document Individual Industry Trends,,,n/a,,,,
,,,,,3.3.1.1.1.3 Document Software Category Trends,,,n/a,,,,
,,,,3.2.1.4.2 Quantify External Opportunity,,,,L5,,,,
,,,,3.2.1.4.3 Quantify Internal Opportunity,,,,L5,,,,
,,,,3.2.1.4.4 Evaluate Past Internal Performance,,,,L5,,,,
,,,,,3.3.1.1.2.1 Document revenue per seat per industry (effectiveness),,,n/a,,,,
,,,,,3.3.1.1.2.2 Document cost of sale per industry (efficiency),,,n/a,,,,
,,,,3.2.1.4.5 Conduct Performance Root Cause Analysis,,,,L5,,,,
,,,,3.2.1.4.6 Establish Growth Targets,,,,L5,,,,
,,,,3.2.1.4.7 Document Improvement Plans,,,,L5,,,,
,,,,,3.3.1.1.5.1 Identify Best Practices For Resolving Each Gap,,,n/a,,,,
,,,,,3.3.1.1.5.2 Map Integration Partner Skills to Gaps,,,n/a,,,,
,,,,,3.3.1.1.5.3 Map Software Partner Skills to Gaps,,,n/a,,,,
,,,,,3.3.1.1.5.4 Map MCS Skills to Gaps,,,n/a,,,,
,,,,3.2.1.4.8 Size Specific Opportunities,,,,L5,,,,
,,,,,3.3.1.1.6.1 Note Unique Account Situations,,,n/a,,,,
,,,,,3.3.1.1.6.2 Discuss Specific Opportunities,,,n/a,,,,
,,,,,3.3.1.1.6.3 Detail Financial and Non-Financial Goals,,,n/a,,,,
,,,3.2.1.5 Create Revenue Plan,,,,,L4,,,,
,,,,3.2.1.5.1 Document Annuity Revenue Plan,,,,L5,,,,
,,,,3.2.1.5.2 Document New Business Plan for Solutions,,,,L5,,,,
,,,,3.2.1.5.3 Document New Business Plan for IO,,,,L5,,,,
,,,3.2.1.6 Align Corp Plans With Subsidiary Plans,,,,,L4,,,,
,,,,3.2.1.6.1 Conduct Bottom-Up Rollup,,,,L5,,,,
,,,,3.2.1.6.2 Settle Subsidiary Goals with Corporate Goal Gaps,,,,L5,,,,
,,,3.2.1.7 Manage Enterprise Accountability Framework,,,,,L4,,,,
,,,3.2.1.8 Conduct Deal Review Board,,,,,L4,,,,
,,3.2.2 Manage Business Review,,,,,,L3,,,,
,,,3.2.2.1 Plan Annuity Revenue,,,,,L4,,,,
,,,3.2.2.2 Review Subsidiary Progress Relative to Goals,,,,,L4,,,,
,3.3 Manage Prospects,,,,,,,L2,,,,
,,3.3.1 Identify Prospect,,,,,,L3,,,,
,3.4 Manage Leads,,,,,,Continue to work with sales prospect as prospect is not ready for opt but likely will be in the near future.,L2,,,,
,,3.4.1 Generate Leads ,,,,,"Leads are generated on behalf of partners via various mediums (trade shows, telesales campaigns, proposal information quotation requests, etc..).",L3,,,,
,,3.4.2 Manage Leads,,,,,,L3,,,,
,,,3.4.2.1 Aggregate Lead,,,,,L4,,,,
,,,3.4.2.2 Score Lead,,,,,L4,,,,
,,,3.4.2.3 Audit Lead,,,,,L4,,,,
,,,3.4.2.4 Validate Lead,,,,,L4,,,,
,,,3.4.2.5 Route Lead,,,,,L4,,,,
,,,3.4.2.6 De-dupe Lead,,,,,L4,,,,
,,,3.4.2.7 Recycle Lead,,,,,L4,,,,
,,3.4.3 Qualify & Approve Leads,,,,,,L3,,,,
,,,3.4.3.1 Contact and Qualify Lead,,,,,L4,,,,
,,,3.4.3.2 Track Leads,,,,,L4,,,,
,,3.4.4 Route & Assign Opportunity,,,,,,L3,,,,
,,,3.4.4.1 Select Partner,,,,,L4,,,,
,,,3.4.4.2 Assign Partner,,,,,L4,,,,
,,,3.4.4.3 Conduct Customer to Partner Locator,,,,,L4,,,,
,,,3.4.4.4 Conduct Partner To Partner Locator,,,,,L4,,,,
,,,3.4.4.5 Distribute Leads Internally,,,,,L4,,,,
,,3.4.5 Manage Partner Selling Scenarios,,,,,,L3,,,,
,,3.4.6 Develop Value Proposition,,,,,,L3,,,,
,,3.4.7 Identify Qualified Opportunity,,,,,,L3,,,,
,,3.4.8 Create Opportunity (Partner),,,,,,L3,,,,
,,,3.4.8.1 Prospect Incubation,,,,,L4,,,,
,,,3.4.8.2 Qualified Opportunity Identification,,,,,L4,,,,
,3.5 Manage Opportunities (OM/Sell),,,,,,,L2,,,,
,,3.5.1 Qualify Opportunity,,,,,Contact customer to validate that this lead is a legitimate sales opportunity Log as an opportunity in tracking system and route to appropriate team.,L3,,,,
,,,3.5.1.1 Assess Customer Needs,,,,,L4,,,,
,,,3.5.1.2 Compare Customer Plan with Needs Statement,,,,,L4,,,,
,,,3.5.1.3 Match Customer Needs to Product Strengths,,,,,L4,,,,
,,,3.5.1.4 Understand timing of customer needs,,,,,L4,,,,
,,3.5.2 Develop Opportunity,,,,,,L3,,,,
,,,3.5.2.1 Develop Opportunity Strategy,,,,,L4,,,,
,,,3.5.2.2 Assess Customer Needs,,,,,L4,,,,
,,,3.5.2.3 Compare Customer Plan with Needs Statement,,,,,L4,,,,
,,,3.5.2.4 Match Customer Needs to Product Strengths,,,,,L4,,,,
,,,3.5.2.5 Understand timing of customer needs,,,,,L4,,,,
,,3.5.3 Define Solution,,,,,,L3,,,,
,,,3.5.3.1 Manage Request For Information (RFI) for Proposal (RFP),,,,,L4,,,,
,,,3.5.3.2 Conduct Architectural Design Session,,,,,L4,,,,
,,,3.5.3.3 Update opportunity to reflect RFI/RFP progress,,,,,L4,,,,
,,,3.5.3.4 Define fit of Integration and software partners in solution,,,,,L4,,,,
,,,3.5.3.5 Define ability to attach services (MCS),,,,,L4,,,,
,,3.5.4 Design Solution,,,,,,L3,,,,
,,3.5.5 Document/Proof  Solution,,,,,"Ability to provide evidence that the proposed solution will meet the customer needs. May include prototype, technical simulation, implementation of restricted product versions and or demos from existing implementations for other MS customers. ",L3,,,,
,,,3.5.5.1 Manage Opportunity Risk Plan,,,,,L4,,,,
,,,3.5.5.2 Manage Opportunity Resources,,,,,L4,,,,
,,,3.5.5.3 Conduct Solution Demonstrations,,,,"Ability to proof the solution to a customer via a working demonstration. This can be a proof-of-concept, or the end solution. ",L4,,,,
,,,3.5.5.4 Prepare Credibility Reference ,,,,,L4,,,,
,,,3.5.5.5 Prepare Case Study Reference,,,,"The ability to store and track previous customer references, including the type of consent and usage conditions.",L4,,,,
,,3.5.6 Close Opportunity,,,,,Obtain a signed agreement for the purchase of MS products   services Log the sale as a Win in the Opportunity tracking system.,L3,,,,
,,,3.5.6.1 Close Winning Opportunity,,,,,L4,,,,
,,,,3.5.6.1.1 Obtain customer signed work order,,,,L5,,,,
,,,,3.5.6.1.2 Create Statement of Work,,,,L5,,,,
,,,,"3.5.6.1.3 Notify Appropriate Finance, Services, and Partner Personnel",,,,L5,,,,
,,,,3.5.6.1.4 Document specifics of what enabled win,,,,L5,,,,
,,,,3.5.6.1.5 Begin Solution Deployment,,,,L5,,,,
,,,3.5.6.2 Close Opportunity Not Won,,,,,L4,,,,
,,,,3.5.6.2.1 Capture Specifics of Loss,,,,L5,,,,
,,,,3.5.6.2.2 Capture Customer Reason,,,,L5,,,,
,,,,3.5.6.2.3 Notify Partners and Executives of Loss,,,,L5,,,,
,,,,3.5.6.2.4 Document alternate solution chosen,,,,L5,,,,
,,3.5.7 Deploy Solution,,,,,"Capabilities involved in actual deployment of a given solution, including deployment resources, operational plans, and maintenance procedures. ",L3,,,,
,,3.5.8 Manage Upwelling Opportunities,,,,,,L3,,,,
,,3.5.9 Manage Cross Selling Opportunities,,,,,,L3,,,,
,3.6 Manage Pipeline,,,,,,"Capabilities supporting the health of the Pipeline, data quality, reviewing of wins and losses, as well as ensuring that enough leads and opportunities are in the pipeline to meet revenue goals. All prospect information is tracked (including pre-qualified & qualified prospects, and routed leads, in addition to dates, communication notes, outcome, task plan, etc…). ",L2,,,,
,,3.6.1 Pipeline Analysis,,,,,,L3,,,,
,,3.6.2 Pipeline Data Quality Management,,,,,,L3,,,,
,,3.6.3 Pipeline Health/Velocity Monitoring,,,,,,L3,,,,
,,3.6.4 Deployment Monitoring,,,,,,L3,,,,
,3.7 Manage Sales & Field,,,,,,"Capabilities related to the planning and management of the sales force, such as capacity planning forecasting, performance monitoring, and scheduling.",L2,,,,
,,3.7.1 Manage Field,,,,,,L3,,,,
,,,3.7.1.1 Create Field Plans,,,,,L4,,,,
,,,3.7.1.2 Align Sales Locations,,,,,L4,,,,
,,,3.7.1.3 Analyze Field Performance,,,,,L4,,,,
,,3.7.2 Manage Incentive Compensation & Quota,,,,,,L3,,,,
,,3.7.3 Manage Field Resource Scheduling,,,,,,L3,,,,
,,3.7.4 Monitor Sales Force ,,,,,"Ability to monitor the sales force performance as per sales objectives, as well as tracking new business development by the sales force.",L3,,,,
,,3.7.5 Manage Partner\Customer Scheduling,,,,,,L3,,,,
,,3.7.6 Manage Sales Force Forecasting,,,,,,L3,,,,
,3.8 Manage Accounts and Contacts,,,,,,"Capabilities related to management of specific customer accounts, as well as contacts associated to the accounts. These capabilities are heavily focused on managing the relationship to customers and planning for future sales engagements.",L2,,,,
,,3.8.1 Manage Contacts,,,,,,L3,,,,
,,3.8.2 Manage Activities,,,,,,L3,,,,
,,,3.8.2.1 Manage Calendar,,,,,L4,,,,
,3.9 Manage Telesales Efforts,,,,,,"Capabilities supporting call center sales activities, including performance monitoring of telesales campaigns and representatives, call scripting, assignment of leads.",L2,,,,
,,3.9.1 Train Resources,,,,,"Based upon the sales campaign, the ability to establish the plan, target audience, time frames, promotions involved, for a telesales campaign.",L3,,,,
,,3.9.2 Create and Manage Scripts,,,,,"Enterprise maintains scripts for customer support group in order to standardize questions,  responses, and maintain a desired corporate image.",L3,,,,
,,3.9.3 Schedule Resources,,,,,,L3,,,,
,,3.9.4 Analyze Telesales Performance,,,,,"As with performance monitoring and analyze for field sales, ability to track telesales performance relative to a campaign, individual representatives, and territory pivots.",L3,,,,
,3.10 Manage Quotes,,,,,,A Quote is an offer by one Party to sell goods or services at specific prices to another Party within a given period of time.,L2,,,,
,,3.10.1 Create Quote & Proposal ,,,,,"A pro forma invoice (a.k.a. quote) is generated and sent to the customer showing information such as product(s))))) ordered, quantity, ship date, price, ship to and bill to information, shipping mode, payment terms, etc.. In order to allow the customer to",L3,,,,
,,3.10.2 Process Quote  ,,,,,Optional step.,L3,,,,
,3.11 Manage Orders,,,,,,Full lifecycle of receiving an order and managing it's completion through to product provisioning,L2,,,,
,,3.11.1 Plan Order,,,,,,L3,,,,
,,,3.11.1.1 Estimate Order,,,,,L4,,,,
,,3.11.2 Setup Order,,,,,,L3,,,,
,,3.11.3 Process Order ,,,,,,L3,,,,
,,,3.11.3.1 Enter Orders,,,,"Order management enters the customer orders into an order entry form where appropriate pricing lists, products, and delivery schedules are applied and validated. This includes the potential setup of complex parent-child account hierarchies and the entry o",L4,,,,
,,,,3.11.3.1.1 Perform Inventory/SKU Availability Check,,,"Availability checks can be performed to reply to customer or enterprise inquiries.  When an order is placed, the order configuration will perform an existing inventory availability check before allocating a particular product to that order.",L5,,,,
,,,,3.11.3.1.2 Offering and Pricing Configuration,,,,L5,,,,
,,,,,2.3.15.3.1 Product Configuration and Validation,,"To enter an order, the order Configurator guides user through a validation tree.  When building order in product Configurator, quotes are validated real-time and errors are kept at a minimum.",n/a,,,,
,,,,,2.3.15.3.2 Pricing Configuration and Validation,,,n/a,,,,
,,,,3.11.3.1.3 Select Shipping Mode,,,"Based on the Partner\Customer's requirements, the appropriate shipping mode (LTL, LCL, CAN) is selected for delivery of the ordered product.",L5,,,,
,,,,3.11.3.1.4 Apply Substitution Techniques,,,"If a Partner\Customer orders a product that is currently out of stock, no longer offered, was never offered, has long lead times, or is a product of lesser quality, order management is prepared to offer order recommendations that would meet the Partner\Customer's require",L5,,,,
,,,,3.11.3.1.5 Apply Taxes,,,"Appropriate country specific statutory taxes are applied to the Partner\Customer's order or must be self assessed, depending on country and taxing model.  ",L5,,,,
,,,,3.11.3.1.6 Apply Discounting & Rebates,,,"Apply any additional price discounts that accrue, such as resulting from organizations fulfilling their commitments to buy large quantities, good will gestures, and or mutually agreed upon Partner\Customer specific discounts given.",L5,,,,
,,,,3.11.3.1.7 Authorize Payment Method,,,"The process of initiating the validation of the form of payment based on established credit policies and on-account information.  Payment methods are country and or currency specific.  These include credit card, invoice, EFT, direct debit, debit cards, wi",L5,,,,
,,,,3.11.3.1.8 Apply Partner Margins,,,,L5,,,,
,,,,3.11.3.1.9 Process Purchase and Receipt,,,"Once the  product has been ordered and payment received, the purchase is complete and a receipt or payment acknowledgement can be generated for the Partner\Customer for recording purposes.",L5,,,,
,,,3.11.3.2 Manage Order Status,,,,"Once the order has been entered and is in process, Partner\Customer or sales rep may inquire about order status.  Sales order management allows status checks on an order to address questions like: is the order on schedule, where is it on the manufacturing line, c",L4,,,,
,,,3.11.3.3 Validate Order,,,,,L4,,,,
,,,3.11.3.4 Returns/Exchange Processing,,,,"If a Partner\Customer finds that the product they purchased is unsatisfactory or defective, the enterprise may allow the Partner\Customer to return exchange the product.  In this situation, the enterprise needs to make adjustments to their inventory levels to reflect the",L4,,,,
,,,3.11.3.5 Accept and Process Promotional Coupons/Rebates,,,,"To stimulate demand, promotional coupons in circulation will be accepted and processed, resulting in price discounts and or other order management configurations.  Both human and automated resources should be prepared to handle the promotion.",L4,,,,
,,,3.11.3.6 Process Auto Purchase Notifications,,,,"Predefined scheduling agreements can be setup to provide constant product replenishment.  These automatic replenishment programs often are associated with ""open to buy"" or ""blanket PO"" order arrangements, with guaranteed replenishment schedules.",L4,,,,
,,,3.11.3.7 Monitor Auto purchase Program,,,,Account representative tracks replenishment performance compliance and updates the scheduling agreement whenever the Partner\Customer notifies them of any changes.,L4,,,,
,,,3.11.3.8 Associate Required Services,,,,"The process of adding or associating any service related elements of an order.  For example, an order may consist of a product plus the servicing of that product.  These orders must reflect both the physical fulfillment of a product and the Agreement terms",L4,,,,
,,,3.11.3.9 Comply w/ Statutory Requirements,,,,"In addition to taxes, some products ordered require further statutory reporting depending on type of good service and country.  Examples include intercompany commerce reporting or hazardous materials shipments.",L4,,,,
,,3.11.4 Manage Order Workflow,,,,,,L3,,,,
,,,3.11.4.1 Order Credit Routing and Approval,,,,,L4,,,,
,,,3.11.4.2 Rebilling,,,,,L4,,,,
,,3.11.5 Update Order,,,,,,L3,,,,
,,,"3.11.5.1 Add Line Item, Amount and Quantity",,,,,L4,,,,
,,,3.11.5.2 Perform Billing Review,,,,,L4,,,,
,,,3.11.5.3 Correct Issue and Resubmit,,,,,L4,,,,
,,3.11.6 Cancel Order,,,,,,L3,,,,
,,3.11.7 Renew Order,,,,,,L3,,,,
,,,3.11.7.1 Check Eligibility,,,,,L4,,,,
,,,3.11.7.2 Process Renewal Request,,,,,L4,,,,
,,,3.11.7.3 Update Status,,,,,L4,,,,
,,,3.11.7.4 Notify Status,,,,,L4,,,,
4.0 Fulfill Product and Services ,,,,,,,Methods involved in delivering the product or service to the end customer,L1,,,,
,4.1 Provision & Register Products/Services,,,,,,Perform any configuration or initial setup required to activate service.  Provide or outsource a service to a Partner\Customer.,L2,,,,
,,4.1.1 Activate/De-Activate Product/Services,,,,,A Microsoft anti-piracy technology that verifies that a product has been legitimately licensed or cancelled,L3,,,,
,,,4.1.1.1 Authenticate Partner\Customer ,,,,"Validating the credentials of a person, computer process, or device. Authentication requires that the person, process, or device making the request provide a credential that proves it is what or who it says it is. Common forms of credentials are digital signatures, smart cards, biometric data, and a combination of user names and password",L4,,,,
,,,4.1.1.2 Entitlement Validation,,,,,L4,,,,
,,,4.1.1.3 License Key Generation,,,,Capabilities allowing an individual to apply a License Key,L4,,,,
,,,4.1.1.4 Key Status Management,,,,,L4,,,,
,,,4.1.1.5 Migration Management,,,,,L4,,,,
,,,,4.1.1.5.1 On-Premise,,,,L5,,,,
,,,,4.1.1.5.2 Partner Hosted,,,,L5,,,,
,,,4.1.1.6 Training License Activation,,,,,L4,,,,
,,4.1.2 Improve Provisioning Process ,,,,,Streamline the service delivery process by analyzing the critical path to delivery and removing any unnecessary obstacles.,L3,,,,
,,4.1.3 Manage Provisioning Support Systems  ,,,,,Monitor the efficiency of service supporting equipment and schedule routine maintenance and upgrades.,L3,,,,
,,4.1.4 Track & Manage Service Delivery ,,,,,Manage the service delivery process by setting target performance goals and looking for opportunities to improve delivery and quality.,L3,,,,
,4.2 Manage Support Services ,,,,,,"Provide customer and partner support of our products and services via phone, online and field",L2,,,,
,,4.2.1 Identify Contact,,,,,,L3,,,,
,,,4.2.1.1 Partner\Customer Identification,,,,Confirm id of partner customer making inquiry,L4,,,,
,,,4.2.1.2 Account Identification,,,,Pull up partner customer's current account info,L4,,,,
,,4.2.2 Track Information & Quotation ,,,,,"When the partner can respond to quotation and information requests, the information status and progress is tracked and shared between the 2 entities.  Responses to the requests are stored in the support knowledge base for future use by other members of the",L3,,,,
,,4.2.3 Track Order & Support ,,,,,"Orders and support requests can be initiated by partners.  The enterprise can make order status information available at all times to both the customer and or partner, and customer support tracking information available to strictly the partner. ",L3,,,,
,,4.2.4 Identify Inquiry,,,,,,L3,,,,
,,4.2.5 Inquiry Tracking,,,,,,L3,,,,
,,,4.2.5.1 Contact Method Identification,,,,,L4,,,,
,,,4.2.5.2 Contact Origin Identification,,,,,L4,,,,
,,,4.2.5.3 Interaction Documentation,,,,,L4,,,,
,,,4.2.5.4 Service Request Creation/Opening,,,,,L4,,,,
,,4.2.6 Confirm Eligibility Support,,,,,Reference the customer's Agreement to determine if eligible for the product service,L3,,,,
,,4.2.7 Manage Incidents/Events & Service Requests,,,,,,L3,,,,
,,,4.2.7.1 Incident control,,,,,L4,,,,
,,,4.2.7.2 Destination Determination,,,,,L4,,,,
,,,4.2.7.3 Incident recording & logging,,,,,L4,,,,
,,,4.2.7.4 Incident alerting,,,,,L4,,,,
